Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
10,Frank Ntilikina,DAL,25,0.01,0.20,0.04,-0.01,-0.23,0.06,0.16,0.01,0.01
11,Tyler Dorsey,DAL,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,A.J. Lawson,DAL,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,McKinley Wright IV,DAL,12,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.04,0.02,0.01
14,Theo Pinson,DAL,20,-0.00,0.01,0.00,0.00,-0.02,0.01,0.10,0.00,0.00
15,JaVale McGee,DAL,27,-0.00,0.08,0.03,-0.02,-0.09,0.13,0.01,0.01,0.01
16,Jaden Hardy,DAL,17,-0.04,-0.03,0.01,0.01,-0.02,0.02,0.03,0.01,0.00
17,Facundo Campazzo,DAL,8,-0.05,-0.02,0.00,0.00,-0.03,0.00,0.07,0.05,0.00
18,Kemba Walker,DAL,9,-0.08,-0.04,0.09,-0.09,-0.04,0.04,0.21,0.00,0.09
19,Reggie Bullock,DAL,42,-0.10,-0.11,0.22,0.02,-0.23,0.41,0.32,0.32,0.13
1,Nikola Jokic,DEN,38,1.25,1.31,0.71,0.01,-0.78,1.03,3.16,0.22,0.18
2,Aaron Gordon,DEN,37,1.14,1.14,0.55,-0.10,-0.45,1.05,0.41,0.32,0.19
3,Jamal Murray,DEN,35,1.00,1.23,0.21,0.14,-0.58,0.45,2.20,0.26,0.05
4,Bruce Brown,DEN,39,0.75,0.93,0.11,0.04,-0.33,0.41,1.04,0.27,0.08
5,Michael Porter Jr.,DEN,27,0.53,0.71,0.13,-0.10,-0.21,0.36,0.15,0.07,0.10
6,Bones Hyland,DEN,32,0.50,0.78,0.19,0.07,-0.54,0.23,1.25,0.09,0.04
7,Christian Braun,DEN,38,0.41,0.44,0.03,-0.01,-0.05,0.15,0.09,0.05,0.01
8,Kentavious Caldwell-Pope,DEN,39,0.38,0.54,0.07,-0.01,-0.22,0.40,0.77,0.20,0.07
9,Zeke Nnaji,DEN,32,0.14,0.21,0.04,-0.01,-0.10,0.15,0.09,0.04,0.01
10,Vlatko Cancar,DEN,30,0.11,0.14,0.02,0.02,-0.07,0.07,0.39,0.08,0.08
11,DeAndre Jordan,DEN,27,0.11,0.16,0.05,-0.05,-0.06,0.18,0.11,0.00,0.02
12,Jeff Green,DEN,23,0.05,0.13,0.07,-0.02,-0.12,0.17,0.27,0.06,0.01
13,Peyton Watson,DEN,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Collin Gillespie,DEN,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Jack White,DEN,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Ish Smith,DEN,20,-0.05,-0.02,0.00,0.00,-0.03,0.00,0.08,0.01,0.01
17,Davon Reed,DEN,27,-0.10,-0.01,0.01,-0.01,-0.08,0.05,0.11,0.06,0.00
1,Alec Burks,DET,33,0.70,0.52,0.26,0.10,-0.19,0.22,0.65,0.45,0.03
2,Saddiq Bey,DET,41,0.62,0.69,0.22,-0.06,-0.23,0.30,0.28,0.22,0.00
3,Hamidou Diallo,DET,37,0.39,0.41,0.16,-0.00,-0.18,0.29,0.24,0.12,0.01
4,Kevin Knox II,DET,35,0.38,0.38,0.05,0.02,-0.07,0.24,0.12,0.12,0.07
5,Marvin Bagley III,DET,24,0.31,0.26,0.10,-0.00,-0.06,0.44,0.08,0.09,0.07
6,Isaiah Stewart,DET,36,0.18,0.25,0.11,0.04,-0.22,0.80,0.38,0.06,0.11
7,Jaden Ivey,DET,42,0.18,0.36,0.48,-0.00,-0.66,0.34,0.89,0.17,0.01
8,Cory Joseph,DET,35,0.18,0.18,0.06,0.01,-0.08,0.08,0.83,0.02,0.00
9,Isaiah Livers,DET,24,0.15,0.18,0.04,0.01,-0.08,0.08,0.06,0.08,0.05
10,Bojan Bogdanovic,DET,42,0.09,0.13,0.47,0.10,-0.61,0.35,1.10,0.31,0.01
11,Jalen Duren,DET,38,0.06,0.21,0.27,-0.14,-0.28,1.00,0.31,0.16,0.19
12,Rodney McGruder,DET,19,0.03,0.07,0.01,-0.03,-0.03,0.04,0.04,0.02,0.00
13,Nerlens Noel,DET,10,0.01,0.01,0.00,0.01,-0.01,0.02,0.01,0.04,0.03
14,Killian Hayes,DET,42,0.01,0.36,0.12,0.00,-0.48,0.24,2.55,0.26,0.08
15,Braxton Key,DET,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
